SMILES,value
O=C(O)c1ccc(C(=O)O)cc1,1.515
OCc1ccccc1,4.178
CN(C)C(=O)Nc1ccccc1,5.06
CCN(CCO)c1ccc(N=Nc2sc3cc(OC)ccc3[n+]2C)cc1,1.041
CCCCCCCCCCCCCCCC[n+]1ccccc1,0.054
CCCCC(C=O)CC,6.83
Nc1ccc(O)cc1,3.42
CNC=O,4.1
NC(=O)N=NC(N)=O,0.52
CCCCOC(C)=O,0.74
O=S(=O)([O-])[O-],4.58
O=[Mo](=O)([O-])[O-],5.1
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,0.4434
Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,3.38
OCC(CO)(CO)COCC(CO)(CO)CO,5.07
CC(C)COP(=O)(OCC(C)C)OCC(C)C,5.14
CCCCOP(=O)(OCCCC)OCCCC,4.242
CC(=O)N(C)C,8.8
Cc1ccc(S(=O)(=O)[N-]Cl)cc1,0.275
O=[N+]([O-])c1cccc(S(=O)(=O)[O-])c1,5.1
O=C1OC(=O)c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)OC5=O,5.2
O=P1([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O1,3.69
CC(C)c1nn(C(=O)NC(C)(C)C)c(=O)n1N,2.242
O=C1C=CC(=O)c2ccccc21,0.046
O=[Al][O-],3.5
O=[Ca],6.04
O=[Ce]=O,5.05
O=[Cr]O[Cr]=O,5.41
O=P([O-])([O-])O,2.6
O=P([O-])([O-])F,2.1
O=[Ge]=O,2.26
O=[Mo](=O)=O,5.1
O=[Nb](=O)O[Nb](=O)=O,5.45
O=[Ni],5.08
O=[W](=O)=O,5.36
O=[Sb](=O)O[Sb](=O)=O,5.4
O=[V](=O)O[V](=O)=O,7.69
S=[SnH2],5.03
O=C(CS)OCC(COC(=O)CS)(COC(=O)CS)COC(=O)CS,3.363
O=S(=O)(O)c1ccccc1N=C1C=CC(=C(c2ccc(Nc3ccccc3)cc2)c2ccc(Nc3ccccc3)cc2)C=C1,2.0
CC1=CCC(C(C)C)C=C1,4.95
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,0.783333333333333
CCCCNCC,11.25
CCC(C)(OO)OOC(C)(CC)OO,1.5
CNC(C)C(O)c1ccccc1,2.2
O=[Se](=O)([O-])[O-],1.0
O=[Mn],5.35
O=[Si]([O-])[O-],21.929
O=C=Nc1ccc(Cl)c(Cl)c1,0.395
O=[W](=O)([O-])[O-],5.01
CCOC(=O)C1CCC(C)CC1=O,5.0
CCOC(=O)CC(NC1CCC(CC2CCC(NC(CC(=O)OCC)C(=O)OCC)C(C)C2)CC1C)C(=O)OCC,4.224
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,5.22
CCCCCCCCCCCC(=O)N(C)CC(=O)[O-],0.05
CN(C)C(=S)[S-],0.13
CNC(=S)[S-],6.8
CCCN(CCC)CCC,4.5
[O-][B][O-],12.62
O=[V](=O)[O-],4.26333333333333
O=[Se]([O-])[O-],1.0
O=[V](=O)[O-],2.96666666666667
C=CN1CCN(C=C)C1=O,5.3
O=[Si]([O-])O[Si](=O)[O-],3.51
CCCCN(CCCC)C(=S)[S-],0.416
CC(=O)OCC(COC(C)=O)OC(C)=O,1.721
CC(=O)[CH-]C(C)=O,5.47
O=S(=O)([O-])c1ccc2c(c1)-c1nc-2nc2[n-]c(nc3nc([n-]c4nc(n1)-c1ccc(S(=O)(=O)[O-])cc1-4)-c1ccc(S(=O)(=O)[O-])cc1-3)c1ccc(S(=O)(=O)[O-])cc21,14.2
O=P(O)(O)CN(CCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O,4.6
CO/N=C(/C(=O)OC)c1ccccc1COc1ccccc1C,5.6
CCCCCCCCCC(=O)N(C)C,3.5507
CN(C)C(=S)[S-],0.281
O=P([O-])([O-])OP(=O)([O-])[O-],0.58
NCc1cccc(CN)c1,1.29333333333333
O=[Cr](=O)([O-])[O-],0.092
CC1CCC(C(C)C)C(O)C1,5.289
Nc1cc(Cl)nc(C(=O)O)c1Cl,5.5
CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,5.0
C=C[Si](OC(=C)C)(OC(=C)C)OC(=C)C,4.31
CN1COCN(Cc2cnc(Cl)s2)/C1=N/[N+](=O)[O-],3.72
CC(CN)CCCN,4.9
N#CN,0.155
Cc1cc(Cl)ccc1O,0.9
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-],2.75
O=S([O-])([O-])=S,9.625
CC(C)(C)CC(C)(C)c1ccc(Nc2ccc(C(C)(C)CC(C)(C)C)cc2)cc1,5.8
Cc1cc([O-])ccc1Cl,2.91033333333333
CC(C)c1ccc(S(=O)(=O)[O-])cc1,6.41
C=CC(=O)O[Si](C(C)C)(C(C)C)C(C)C,5.99
CCN(C(=O)n1nnn(-c2ccccc2Cl)c1=O)C1CCCCC1,5.085
O=S(=O)([O-])c1ccc(Nc2nc(Nc3ccc(/C=C/c4ccc(Nc5nc(Nc6ccc(S(=O)(=O)[O-])cc6)nc(N(CCO)CCO)n5)c(S(=O)(=O)[O-])c4)cc3S(=O)(=O)[O-])nc(N(CCO)CCO)n2)cc1,1.8575
CN=C(NCC1CCOC1)N[N+](=O)[O-],4.09
Nc1ccc(Nc2ccc(S(N)(=O)=O)cc2)cc1,5.2
CC(C)(O)Cc1ccccc1,3.005
CC(C)(O)CCc1ccccc1,3.005
CCCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCCC,3.2
CCCCNc1ccc(NCCCC)c2c1C(=O)c1ccccc1C2=O,4.0
Cc1nccn1C,7.5
CCCCCCCCCCC(C)CCCCCCCC,4.8
N=C(N)S(=O)O,0.164
CO[Si](CCCNCCN)(OC)OC,1.49
CO[SiH](CC1CCCCC1)OC,5.53
CCO[Si](CC(C)C)(OCC)OCC,5.88
O=S(=O)(O)c1cc(S(=O)(=O)O)c2[n-]c(-c3ccc(-c4nc5c(S(=O)(=O)O)cc(S(=O)(=O)O)cc5[n-]4)cc3)nc2c1,1.87
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,5.7
CCCCC(CC)COC(=O)[C@H](C)O,5.6
CCCP(=O)(OC)OC,5.788
C=CC(=C)CC/C=C(\C)CCC=C(C)C,2.06
O=[Mo]=O,5.1
CN1CCSC1=S,0.6
C[n+]1ccc(-c2cc[n+](C)cc2)cc1,0.0007
O=P(OCC(CBr)(CBr)CBr)(OCC(CBr)(CBr)CBr)OCC(CBr)(CBr)CBr,1.81
CC(=O)OCCOC(C)C,12.3
CC(=O)[CH-]C(C)=O,5.47
O=C(O)Cc1ccccc1,5.0
COc1cc(OC)nc(NC(=O)N=S(=O)([O-])c2ncccc2OCC(F)(F)F)n1,5.03
CC(C)(O)c1cccc(C(C)(C)O)c1,5.12
O=C(O)COc1ccc(Cl)cc1Cl,5.0
Nc1[nH]c(=O)ncc1F,5.17
CCO[Si](C)(OCC)OCC,13.5
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,10.6
CCCCCCCCCCCCCCCCCCOC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1.81
C=C(C)c1cccc(C(=O)N=C(C)C)c1,0.75
CC(O)C(=O)O,7.94
CCN(CC)C(=S)[S-],0.51
CC(C)c1cc(C(C)C)c(N=C=O)c(C(C)C)c1N=C=O,0.11
CC(CO)CO,5.1
CC(=O)C(N=Nc1cc(Cl)c(-c2cc(Cl)c(N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3C)cc2Cl)cc1Cl)C(=O)Nc1ccc(C)cc1C,4.25
CC(C)CC(C)OP(=S)([S-])OC(C)CC(C)C,2.0
Nc1cccc2c(N)cccc12,5.27
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,0.89
CCC(CO)(CO)COCC(CC)(CO)CO,5.15
CCOc1ccccc1NC(=O)C(=O)Nc1ccccc1CC,5.0
CC(C)c1ccc2cc(C(C)C)ccc2c1,5.64
O=C=Nc1ccc(C(c2ccc(N=C=O)cc2)c2ccc(N=C=O)cc2)cc1,0.437
Cc1ccc(O)c(-n2nc3ccccc3n2)c1,0.59
O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1,3.09
CCCCCC1C(=O)CCC1CC(=O)OC,4.93
CCOC(=O)C(C)C1CCCCC1,5.4
CO[Si](CCCOCC1CO1)(OC)OC,5.3
C=C(C)C(=O)OCCC[Si](OC)(OC)OC,2.28
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0.4225
O=C=Nc1ccccc1Cc1ccccc1N=C=O,0.606475
CC(C)CCCCCCCOP(OCCCCCCCC(C)C)OCCCCCCCC(C)C,12.6
CCCCC(CC)CO,0.89
Cc1cc(Nc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)cc(S(=O)(=O)NCCO)c1C,0.29
COC(=O)C(C)(C)N=NC(C)(C)C(=O)OC,2.034
CCC(C)(C)c1cc(-n2nc3ccccc3n2)c(O)c(C(C)(C)CC)c1,0.4
O=C(Nc1ccc2c(c1)C=C(S(=O)(=O)[O-])/C(=N/Nc1ccc(N=Nc3ccc(S(=O)(=O)[O-])cc3)cc1S(=O)(=O)[O-])C2=O)Nc1ccc2c(c1)C=C(S(=O)(=O)[O-])/C(=N/Nc1ccc(N=Nc3ccc(S(=O)(=O)[O-])cc3)cc1S(=O)(=O)[O-])C2=O,5.0
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,3.8
CC(=O)OC/C=C(\C)C=O,8.96666666666667
Cc1ccc(N2C(=O)N(c3ccc(C)c(N=C=O)c3)C2=O)cc1N=C=O,1.12
Cn1sccc1=O,0.113333333333333
CCCCCCCCOC1=CC=CC(=C2N=C(c3ccc(C)cc3C)NC(c3ccc(C)cc3C)=N2)C1=O,0.377
