,CasRN,Parameter,value,Unit,category,SMILES
0,100-21-0,LC50,1.515,mg/L,3,O=C(O)c1ccc(C(=O)O)cc1
1,100-51-6,LC50,4.178,mg/L,3,OCc1ccccc1
2,101-42-8,LC50,5.06,mg/L,4,CN(C)C(=O)Nc1ccccc1
3,12270-13-2,LC50,1.041,mg/L,3,CCN(CCO)c1ccc(N=Nc2sc3cc(OC)ccc3[n+]2C)cc1
4,123-03-5,LC50,0.054000000000000006,mg/L,1,CCCCCCCCCCCCCCCC[n+]1ccccc1
5,123-05-7,LC50,6.83,mg/L,4,CCCCC(C=O)CC
6,123-30-8,LC50,3.42,mg/L,3,Nc1ccc(O)cc1
7,123-39-7,LC50,4.1,mg/L,3,CNC=O
8,123-77-3,LC50,0.52,mg/L,2,NC(=O)N=NC(N)=O
9,123-86-4,LC50,0.74,mg/L,2,CCCCOC(C)=O
10,12336-95-7,LC50,4.58,mg/L,3,O=S(=O)([O-])[O-]
11,12411-64-2,LC50,5.1,mg/L,4,O=[Mo](=O)([O-])[O-]
12,101-68-8,LC50,0.4434,mg/L,1,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1
13,124495-18-7,LC50,3.38,mg/L,3,Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1
14,126-58-9,LC50,5.07,mg/L,4,OCC(CO)(CO)COCC(CO)(CO)CO
15,126-71-6,LC50,5.14,mg/L,4,CC(C)COP(=O)(OCC(C)C)OCC(C)C
16,126-73-8,LC50,4.242,mg/L,3,CCCCOP(=O)(OCCCC)OCCCC
17,12607-70-4,LC50,1.167,mg/L,3,[OH2-].[OH2-].[OH2-].[OH2-].[Ni++].[Ni++].[Ni++].[O-]C([O-])=O
18,127-19-5,LC50,8.8,mg/L,4,CC(=O)N(C)C
19,127-65-1,LC50,0.275,mg/L,1,Cc1ccc(S(=O)(=O)[N-]Cl)cc1
20,127-68-4,LC50,5.1,mg/L,4,O=[N+]([O-])c1cccc(S(=O)(=O)[O-])c1
21,128-69-8,LC50,5.2,mg/L,4,O=C1OC(=O)c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)OC5=O
22,10124-56-8,LC50,3.69,mg/L,3,O=P1([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O1
23,129909-90-6,LC50,2.242,mg/L,3,CC(C)c1nn(C(=O)NC(C)(C)C)c(=O)n1N
24,130-15-4,LC50,0.046,mg/L,0,O=C1C=CC(=O)c2ccccc21
25,1302-67-6,LC50,3.5,mg/L,3,O=[Al][O-]
26,1305-78-8,LC50,6.04,mg/L,4,O=[Ca]
27,1306-38-3,LC50,5.05,mg/L,4,O=[Ce]=O
28,1308-38-9,LC50,5.41,mg/L,4,O=[Cr]O[Cr]=O
29,13092-66-5,LC50,2.6,mg/L,3,O=P([O-])([O-])O
30,10163-15-2,LC50,2.1,mg/L,3,O=P([O-])([O-])F
31,1310-53-8,LC50,2.26,mg/L,3,O=[Ge]=O
32,1313-27-5,LC50,5.1,mg/L,4,O=[Mo](=O)=O
33,1313-96-8,LC50,5.45,mg/L,4,O=[Nb](=O)O[Nb](=O)=O
34,1313-99-1,LC50,5.08,mg/L,4,O=[Ni]
35,1314-35-8,LC50,5.36,mg/L,4,O=[W](=O)=O
36,1314-60-9,LC50,5.4,mg/L,4,O=[Sb](=O)O[Sb](=O)=O
