idx,SMILES,CasRN,Test,del,value
0,O=C(O)c1ccc(C(=O)O)cc1,100-21-0,train,FALSE,1.52
1,OCc1ccccc1,100-51-6,train,FALSE,4.18
2,CN(C)C(=O)Nc1ccccc1,101-42-8,train,FALSE,5.06
3,CCN(CCO)c1ccc(N=Nc2sc3cc(OC)ccc3[n+]2C)cc1,12270-13-2,CCN(CCO)c1ccc(N=Nc2sc3cc(OC)ccc3[n+]2C)cc1,TRUE,1.04
4,CCCCCCCCCCCCCCCC[n+]1ccccc1,123-03-5,train,FALSE,0.05
5,CCCCC(C=O)CC,123-05-7,train,FALSE,6.83
6,Nc1ccc(O)cc1,123-30-8,train,FALSE,3.42
7,CNC=O,123-39-7,train,FALSE,4.1
8,NC(=O)N=NC(N)=O,123-77-3,train,FALSE,0.52
9,CCCCOC(C)=O,123-86-4,train,FALSE,0.74
10,O=S(=O)([O-])[O-],12336-95-7,train,FALSE,4.58
11,O=[Mo](=O)([O-])[O-],12411-64-2,train,FALSE,5.1
12,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,101-68-8,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,TRUE,0.44
13,Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,124495-18-7,train,FALSE,3.38
14,OCC(CO)(CO)COCC(CO)(CO)CO,126-58-9,train,FALSE,5.07
15,CC(C)COP(=O)(OCC(C)C)OCC(C)C,126-71-6,train,FALSE,5.14
16,CCCCOP(=O)(OCCCC)OCCCC,126-73-8,train,FALSE,4.24
17,[OH2-].[OH2-].[OH2-].[OH2-].[Ni++].[Ni++].[Ni++].[O-]C([O-])=O,12607-70-4,train,TRUE,1.17
18,CC(=O)N(C)C,127-19-5,train,FALSE,8.8
19,Cc1ccc(S(=O)(=O)[N-]Cl)cc1,127-65-1,train,FALSE,0.28
20,O=[N+]([O-])c1cccc(S(=O)(=O)[O-])c1,127-68-4,train,FALSE,5.1
21,O=C1OC(=O)c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)OC5=O,128-69-8,train,FALSE,5.2
